TimeStamp,ReactivePower_kVAr,Power_kW,WindSpeed_mps,ErrorCode,GenState,RunState,RotorSpeed_rpm,RotorSpeedAve,RotorOverSpeed,RotorUnderSpeed
2018-04-01 03:10:48.020,909,-1,5.675079,416,1,3,0,0,0,0
2018-04-01 03:14:23.510,909,-1,6.106518,416,1,3,0.04500332,0.004446919,0,0
2018-04-01 03:14:30.670,909,-1,5.632737,416,1,3,0.03000221,0.003141593,0,0
2018-04-01 03:17:29.858,910,-1,6.560845,416,1,3,0,3.87453E-015,0,0
2018-04-01 03:17:42.166,910,-1,6.959096,416,1,3,0,4.437472E-026,0,0
2018-04-01 03:18:12.830,910,-1,7.375658,416,1,3,0.04500332,0.004699038,0,0
2018-04-01 03:19:17.222,910,-1,6.560845,416,1,3,0.01500111,0.001570762,0,0
2018-04-01 03:23:39.780,912,-1,5.619004,416,1,3,0.1650122,0.01808751,0,0
2018-04-01 03:28:52.189,910,-1,5.211597,416,1,3,-0.06000442,-0.006283185,0,0
2018-04-01 03:31:56.875,910,-1,6.836646,416,1,3,0.06000442,0.006336997,0,0
2018-04-01 03:32:35.650,911,-1,4.926642,416,1,3,-0.01500111,-0.001527708,0,0
2018-04-01 03:35:21.128,911,-1,4.841956,416,1,3,0,-2.065807E-020,0,0
2018-04-01 03:35:22.130,911,-1,4.369319,416,1,3,0,-2.909322E-022,0,0
2018-04-01 03:35:36.420,911,-1,5.576661,416,1,3,0,-2.595305E-008,0,0
2018-04-01 03:38:59.042,910,-1,5.858183,416,1,3,0.01500111,0.001572921,0,0
2018-04-01 03:40:07.480,910,-1,4.673729,416,1,3,0.07500553,0.007027034,0,0
2018-04-01 03:42:12.139,909,-1,3.895538,416,1,3,0.03000221,0.003345856,0,0
2018-04-01 03:47:45.098,907,-1,3.989378,416,1,3,0.2100155,0.02200113,0,0
2018-04-01 03:48:03.495,908,-1,3.642625,416,1,3,0.1650122,0.01727876,0,0
2018-04-01 03:49:45.822,908,-1,5.366092,416,1,3,0.09000664,0.009424779,0,0
2018-04-01 03:53:28.702,907,-1,6.064176,416,1,3,-0.1200088,-0.01251489,0,0
2018-04-01 03:55:01.896,909,-1,4.219403,416,1,3,0.06000442,0.006288047,0,0
2018-04-01 03:57:34.866,909,-1,7.075825,416,1,3,-0.01500111,-0.001570796,0,0
2018-04-01 03:57:57.338,909,-1,5.755188,416,1,3,0.03000221,0.003141588,0,0
2018-04-01 03:58:02.416,909,-1,6.453271,416,1,3,0.01500111,0.001573614,0,0
2018-04-01 03:58:58.456,908,-1,4.275478,416,1,3,-0.03000221,-0.003142806,0,0
2018-04-01 04:01:24.807,907,-1,4.96784,416,1,3,-0.01500111,-0.002133671,0,0
2018-04-01 04:02:28.178,908,-1,3.35767,416,1,3,0,2.9078E-023,0,0
2018-04-01 04:07:43.902,910,-1,4.443705,416,1,3,0,0.0001921716,0,0
2018-04-01 04:07:57.221,909,-1,5.483965,416,1,3,0,3.293288E-017,0,0
2018-04-01 04:09:55.601,908,-1,6.574578,416,1,3,0,5.256965E-011,0,0
2018-04-01 04:14:12.481,908,-1,5.586961,416,1,3,0,4.177413E-019,0,0
2018-04-01 04:14:40.040,909,-1,2.823235,416,1,3,0,3.707778E-016,0,0
2018-04-01 04:16:08.247,908,-1,4.982718,416,1,3,0,2.910846E-021,0,0
2018-04-01 04:17:49.463,910,-1,4.181638,416,1,3,0,1.793533E-020,0,0
2018-04-01 04:17:54.550,910,-1,4.855689,416,1,3,0,3.557241E-024,0,0
2018-04-01 04:18:00.729,911,-1,4.10153,416,1,3,0,0.000192083,0,0
2018-04-01 04:18:24.263,911,-1,3.957335,416,1,3,0,1.101656E-024,0,0
2018-04-01 04:19:41.994,911,-1,4.916342,416,1,3,-0.07500553,-0.007822795,0,0
2018-04-01 04:20:00.301,911,-1,4.199948,416,1,3,-0.04500332,-0.00471239,0,0
2018-04-01 04:20:22.643,912,-1,3.389713,416,1,3,0,-1.106947E-016,0,0
2018-04-01 04:21:35.267,909,-1,6.087063,416,1,3,0.01500111,0.001570796,0,0
2018-04-01 04:23:28.811,909,-1,3.628892,416,1,3,0.1200088,0.01256637,0,0
2018-04-01 04:25:27.411,908,-1,3.503008,416,1,3,0.1650122,0.01727876,0,0
2018-04-01 04:28:36.563,909,-1,5.956602,416,1,3,0.04500332,0.004712391,0,0
2018-04-01 04:29:14.217,908,-1,6.012678,416,1,3,0.07500553,0.007853982,0,0
2018-04-01 04:29:24.452,908,-1,5.529741,416,1,3,0.07500553,0.007853976,0,0
2018-04-01 04:30:49.094,907,-1,4.772148,416,1,3,0.03000221,0.00314264,0,0
2018-04-01 04:31:00.280,908,-1,6.232402,416,1,3,0,2.302867E-006,0,0
2018-04-01 04:33:40.630,907,-1,6.556268,416,1,3,0.03000221,0.003141591,0,0
2018-04-01 04:36:13.751,907,-1,5.300861,416,1,3,0.1050077,0.01099558,0,0
2018-04-01 04:37:42.769,907,-1,6.359431,416,1,3,0.1350099,0.01300166,0,0
2018-04-01 04:40:05.093,908,-1,4.954108,416,1,3,0.03000221,0.002854251,0,0
2018-04-01 04:40:56.267,909,-1,5.628159,416,1,3,0.03000221,0.00314177,0,0
2018-04-01 04:42:55.058,909,-1,6.335398,416,1,3,0.04500332,0.004712389,0,0
2018-04-01 04:44:34.060,909,-1,4.448283,416,1,3,0.06000442,0.006283185,0,0
2018-04-01 04:44:46.288,910,-1,4.448283,416,1,3,0.06000442,0.006283185,0,0
2018-04-01 04:47:45.175,908,-1,4.785881,416,1,3,0.1650122,0.01739212,0,0
2018-04-01 04:48:32.152,907,-1,6.241558,416,1,3,0.1200088,0.01256637,0,0
2018-04-01 04:50:20.538,908,-1,6.626076,416,1,3,0.07500553,0.007853982,0,0
2018-04-01 04:50:32.756,908,-1,6.02641,416,1,3,0.07500553,0.007645664,0,0
2018-04-01 04:51:03.470,908,-1,5.562928,416,1,3,0.06000442,0.006283185,0,0
2018-04-01 04:51:22.808,909,-1,4.256023,416,1,3,0.07500553,0.007853982,0,0
2018-04-01 04:53:47.566,908,-1,5.108602,416,1,3,0.07500553,0.007853982,0,0
2018-04-01 04:54:46.821,908,-1,4.401362,416,1,3,0.03000221,0.003134876,0,0
2018-04-01 04:55:19.418,908,-1,4.982718,416,1,3,0,1.230696E-006,0,0
2018-04-01 05:05:00.754,902,-1,6.073331,416,1,3,0.03000221,0.003344836,0,0
2018-04-01 05:06:36.952,902,-1,5.184132,416,1,3,0.06000442,0.006283185,0,0
2018-04-01 05:07:53.432,902,-1,4.045454,416,1,3,0.04500332,0.004807141,0,0
2018-04-01 05:08:21.983,901,-1,4.336132,416,1,3,0.04500332,0.00471239,0,0
2018-04-01 05:08:25.038,901,-1,4.087797,416,1,3,0.04500332,0.004712389,0,0
2018-04-01 05:09:07.008,900,-1,3.914992,416,1,3,0.03000221,0.003141581,0,0
2018-04-01 05:11:29.282,901,-1,6.377741,416,1,3,0.1650122,0.01726645,0,0
2018-04-01 05:12:23.490,901,-1,3.924148,416,1,3,0.1200088,0.01258084,0,0
2018-04-01 05:12:42.968,901,-1,5.529741,416,1,3,0.1050077,0.01099557,0,0
2018-04-01 05:13:40.141,904,-1,6.321665,416,1,3,0.1800133,0.01923376,0,0
2018-04-01 05:16:32.889,902,-1,6.668419,416,1,3,0.04500332,0.004713061,0,0
2018-04-01 05:19:01.152,905,-1,6.700462,416,1,3,0.06000442,0.006283185,0,0
2018-04-01 05:20:52.372,905,-1,4.340709,416,1,3,0.1950144,0.02031553,0,0
2018-04-01 05:22:44.553,906,-1,5.164677,416,1,3,0.1950144,0.02042035,0,0
2018-04-01 05:23:04.082,907,-1,5.334048,416,1,3,0.1500111,0.01571168,0,0
2018-04-01 05:25:51.082,907,-1,6.710762,416,1,3,0.07500553,0.00785403,0,0
2018-04-01 05:26:38.049,907,-1,6.030988,416,1,3,0.07500553,0.007853982,0,0
2018-04-01 05:26:48.174,907,-1,4.383052,416,1,3,0.1050077,0.01186625,0,0
2018-04-01 05:32:54.891,907,-1,6.397196,416,1,3,0.1500111,0.01576871,0,0
2018-04-01 05:33:29.741,907,-1,6.218669,416,1,3,0.1050077,0.01101815,0,0
2018-04-01 05:43:48.681,908,-1,4.97814,416,1,3,0.1050077,0.01099557,0,0
2018-04-01 05:44:58.291,908,-1,6.227825,416,1,3,0.04500332,0.004712389,0,0
2018-04-01 05:47:29.188,907,-1,6.200359,416,1,3,0.06000442,0.006132405,0,0
2018-04-01 05:47:43.419,907,-1,6.953374,416,1,3,0.04500332,0.004715983,0,0
2018-04-01 05:55:16.320,907,-1,4.575311,416,1,3,0.09000664,0.009410981,0,0
2018-04-01 05:55:56.267,906,-1,6.621498,416,1,3,0.07500553,0.007853982,0,0
2018-04-01 05:56:47.221,905,-1,7.187976,416,1,3,0.1200088,0.01256637,0,0
2018-04-01 06:00:37.041,909,-1,7.633148,416,1,3,0.09000664,0.009424779,0,0
2018-04-01 06:02:18.197,909,-1,5.712845,416,1,3,0.09000664,0.009424036,0,0
2018-04-01 06:02:32.507,909,-1,4.729805,416,1,3,0.1050077,0.01099557,0,0
2018-04-01 06:03:08.249,908,-1,6.513925,416,1,3,0.1050077,0.01099557,0,0
2018-04-01 06:05:13.979,907,-1,7.360781,416,1,3,0.1200088,0.01249779,0,0
2018-04-01 06:08:55.908,908,-1,7.277239,416,1,3,0.07500553,0.007899763,0,0
2018-04-01 06:10:09.414,907,-1,6.138562,416,1,3,0.09000664,0.009424779,0,0
2018-04-01 06:14:37.279,905,-1,6.61692,416,1,3,0.1950144,0.02042035,0,0
2018-04-01 06:18:31.035,905,-1,6.836646,416,1,3,0.03000221,0.003141593,0,0
2018-04-01 06:23:29.104,904,-1,7.089558,416,1,3,0.07500553,0.00785398,0,0
2018-04-01 06:23:47.491,903,-1,6.668419,416,1,3,0.1200088,0.01256637,0,0
2018-04-01 06:29:53.046,902,-1,4.701195,416,1,3,0.07500553,0.007853981,0,0
2018-04-01 06:30:15.438,902,-1,5.314593,416,1,3,0.09000664,0.009419064,0,0
2018-04-01 06:32:58.222,902,-1,6.612343,416,1,3,0.09000664,0.008947875,0,0
2018-04-01 06:36:31.990,900,-1,5.970335,416,1,3,0.09000664,0.009427275,0,0
2018-04-01 06:38:34.506,900,-1,5.099446,416,1,3,0.1200088,0.01256637,0,0
2018-04-01 06:38:36.529,900,-1,5.099446,416,1,3,0.1200088,0.01256637,0,0
2018-04-01 06:40:50.552,899,-1,7.033482,416,1,3,0.06000442,0.006283185,0,0
2018-04-01 06:44:04.931,902,-1,7.268085,416,1,3,0.1500111,0.01570797,0,0
2018-04-01 06:44:46.801,902,-1,5.549195,416,1,3,0.1050077,0.01099557,0,0
2018-04-01 06:47:22.525,901,-1,4.611932,416,1,3,0.06000442,0.006283456,0,0
2018-04-01 06:48:23.863,902,-1,7.000295,416,1,3,0.07500553,0.007854724,0,0
2018-04-01 06:51:22.841,901,-1,7.098713,416,1,3,0.06000442,0.00628218,0,0
2018-04-01 06:51:28.990,902,-1,7.474076,416,1,3,0.07500553,0.007825791,0,0
2018-04-01 06:52:41.464,901,-1,6.02641,416,1,3,0.1350099,0.01413717,0,0
2018-04-01 06:54:41.997,901,-1,7.315005,416,1,3,0.1350099,0.01413717,0,0
2018-04-01 06:59:55.568,901,-1,5.600694,416,1,3,0.03000221,0.003441273,0,0
